Gun,Skin,Wear,Grade,Volume,Normal Price,Sale Price,,,,,,,,
Five-SeveN,Kami,Field-Tested,Mil-SpecGrade,86,$0.36,$0.35,,,,,Dual Berettas,FAMAS,MP9,Nova
Five-SeveN,Kami,Minimal Wear,Mil-SpecGrade,259,$0.35,$0.34,,,,,,,,
Five-SeveN,Kami,Factory New,Mil-SpecGrade,226,$0.55,$0.53,LOW,,$5.50,Factory New,$4.88,$4.43,$6.68,$2.44
Galil AR,Sandstorm,Battle-Scarred,Mil-SpecGrade,97,$0.51,$0.49,,,,,,,,
Galil AR,Sandstorm,Well-Worn,Mil-SpecGrade,48,$0.48,$0.46,,,,,,,,
Galil AR,Sandstorm,Field-Tested,Mil-SpecGrade,286,$0.31,$0.30,,,,,,,,
Galil AR,Sandstorm,Minimal Wear,Mil-SpecGrade,98,$1.58,$1.52,,,,,,,,
M249,Magma,Battle-Scarred,Mil-SpecGrade,99,$0.25,$0.24,LOW,,$2.50,Field-Tested,,,,
M249,Magma,Well-Worn,Mil-SpecGrade,55,$0.29,$0.28,LOW,,$2.90,,,,,
M249,Magma,Field-Tested,Mil-SpecGrade,120,$0.29,$0.28,,,,,,,,
M249,Magma,Minimal Wear,Mil-SpecGrade,104,$0.37,$0.36,,,,,,,,
M249,Magma,Factory New,Mil-SpecGrade,104,$0.58,$0.56,,,,,,,,
PP-Bizon,Cobalt Halftone,Well-Worn,Mil-SpecGrade,59,$0.49,$0.47,,,,,,,,
PP-Bizon,Cobalt Halftone,Field-Tested,Mil-SpecGrade,137,$0.25,$0.24,LOW,,$2.50,,,,,
PP-Bizon,Cobalt Halftone,Minimal Wear,Mil-SpecGrade,122,$0.31,$0.30,LOW,,$3.10,,,,,
PP-Bizon,Cobalt Halftone,Factory New,Mil-SpecGrade,60,$0.93,$0.89,,,,,,,,
Dual Berettas,Marina,Battle-Scarred,Restricted,28,$1.52,$1.46,,,,,,,,
Dual Berettas,Marina,Well-Worn,Restricted,28,$1.95,$1.87,,,,,,,,
Dual Berettas,Marina,Field-Tested,Restricted,117,$1.55,$1.49,,,,,,,,
Dual Berettas,Marina,Minimal Wear,Restricted,93,$1.98,$1.90,,,,,,,,
Dual Berettas,Marina,Factory New,Restricted,37,$4.88,$4.67,,,,,,,,
FAMAS,Pulse,Well-Worn,Restricted,9,$9.59,$9.18,,,,,,,,
FAMAS,Pulse,Field-Tested,Restricted,103,$3.11,$2.98,,,,,,,,
FAMAS,Pulse,Minimal Wear,Restricted,136,$3.29,$3.15,,,,,,,,
FAMAS,Pulse,Factory New,Restricted,169,$4.43,$4.24,,,,,,,,
MP9,Rose Iron,Field-Tested,Restricted,46,$4.03,$3.86,,,,,,,,
MP9,Rose Iron,Minimal Wear,Restricted,77,$5.17,$4.95,,,,,,,,
MP9,Rose Iron,Factory New,Restricted,83,$6.68,$6.39,,,,,,,,
Nova,Rising Skull,Battle-Scarred,Restricted,14,$2.13,$2.04,,,,,,,,
Nova,Rising Skull,Well-Worn,Restricted,31,$2.30,$2.20,,,,,,,,
Nova,Rising Skull,Field-Tested,Restricted,91,$1.69,$1.62,,,,,,,,
Nova,Rising Skull,Minimal Wear,Restricted,69,$1.92,$1.84,,,,,,,,
Nova,Rising Skull,Factory New,Restricted,61,$2.44,$2.34,,,,,,,,
AWP,Redline,Well-Worn,Classified,11,$23.53,$22.51,,,,,,,,
AWP,Redline,Field-Tested,Classified,294,$17.95,$17.17,,,,,,,,
AWP,Redline,Minimal Wear,Classified,229,$30.59,$29.26,,,,,,,,
M4A1-S,Guardian,Battle-Scarred,Classified,22,$5.80,$5.55,,,,,,,,
M4A1-S,Guardian,Well-Worn,Classified,55,$5.55,$5.31,,,,,,,,
M4A1-S,Guardian,Field-Tested,Classified,224,$5.71,$5.47,,,,,,,,
M4A1-S,Guardian,Minimal Wear,Classified,298,$6.46,$6.18,,,,,,,,
M4A1-S,Guardian,Factory New,Classified,277,$8.64,$8.27,,,,,,,,
P250,Mehndi,Battle-Scarred,Classified,30,$4.99,$4.78,,,,,,,,
P250,Mehndi,Well-Worn,Classified,22,$5.49,$5.26,,,,,,,,
P250,Mehndi,Field-Tested,Classified,63,$5.41,$5.18,,,,,,,,
P250,Mehndi,Minimal Wear,Classified,70,$6.71,$6.42,,,,,,,,
P250,Mehndi,Factory New,Classified,27,$11.15,$10.67,,,,,,,,
M4A4,Asiimov,Battle-Scarred,Covert,64,$33.43,$31.98,,,,,,,,
M4A4,Asiimov,Well-Worn,Covert,26,$63.09,$60.35,,,,,,,,
M4A4,Asiimov,Field-Tested,Covert,56,$100.32,$95.96,,,,,,,,
Sawed-Off,The Kraken,Well-Worn,Covert,8,$8.85,$8.47,,,,,,,,
Sawed-Off,The Kraken,Field-Tested,Covert,53,$5.44,$5.21,,,,,,,,
Sawed-Off,The Kraken,Minimal Wear,Covert,44,$5.55,$5.31,,,,,,,,
Sawed-Off,The Kraken,Factory New,Covert,42,$7.73,$7.40,,,,,,,,
StatTrak™ Five-SeveN,Kami,Field-Tested,StatTrak™Mil-SpecGrade,169,$0.74,$0.71,,,,,,,,
StatTrak™ Five-SeveN,Kami,Minimal Wear,StatTrak™Mil-SpecGrade,326,$0.93,$0.89,,,,,,,,
StatTrak™ Five-SeveN,Kami,Factory New,StatTrak™Mil-SpecGrade,198,$1.52,$1.46,,,,,,,,
StatTrak™ Galil AR,Sandstorm,Battle-Scarred,StatTrak™Mil-SpecGrade,97,$0.64,$0.62,,,,,,,,
StatTrak™ Galil AR,Sandstorm,Well-Worn,StatTrak™Mil-SpecGrade,91,$1.00,$0.96,,,,,,,,
StatTrak™ Galil AR,Sandstorm,Field-Tested,StatTrak™Mil-SpecGrade,375,$0.65,$0.63,,,,,,,,
StatTrak™ Galil AR,Sandstorm,Minimal Wear,StatTrak™Mil-SpecGrade,73,$3.04,$2.91,,,,,,,,
StatTrak™ M249,Magma,Battle-Scarred,StatTrak™Mil-SpecGrade,80,$0.51,$0.49,,,,,,,,
StatTrak™ M249,Magma,Well-Worn,StatTrak™Mil-SpecGrade,58,$0.74,$0.71,,,,,,,,
StatTrak™ M249,Magma,Field-Tested,StatTrak™Mil-SpecGrade,140,$0.57,$0.55,,,,,,,,
StatTrak™ M249,Magma,Minimal Wear,StatTrak™Mil-SpecGrade,104,$0.86,$0.83,,,,,,,,
StatTrak™ M249,Magma,Factory New,StatTrak™Mil-SpecGrade,75,$1.05,$1.01,,,,,,,,
StatTrak™ PP-Bizon,Cobalt Halftone,Well-Worn,StatTrak™Mil-SpecGrade,100,$0.53,$0.51,,,,,,,,
StatTrak™ PP-Bizon,Cobalt Halftone,Field-Tested,StatTrak™Mil-SpecGrade,170,$0.57,$0.55,,,,,,,,
StatTrak™ PP-Bizon,Cobalt Halftone,Minimal Wear,StatTrak™Mil-SpecGrade,189,$0.82,$0.79,,,,,,,,
StatTrak™ PP-Bizon,Cobalt Halftone,Factory New,StatTrak™Mil-SpecGrade,45,$2.39,$2.29,,,,,,,,
StatTrak™ Dual Berettas,Marina,Battle-Scarred,StatTrak™Restricted,11,$3.40,$3.26,,,,,,,,
StatTrak™ Dual Berettas,Marina,Well-Worn,StatTrak™Restricted,15,$3.63,$3.48,,,,,,,,
StatTrak™ Dual Berettas,Marina,Field-Tested,StatTrak™Restricted,69,$3.59,$3.44,,,,,,,,
StatTrak™ Dual Berettas,Marina,Minimal Wear,StatTrak™Restricted,42,$4.50,$4.31,,,,,,,,
StatTrak™ Dual Berettas,Marina,Factory New,StatTrak™Restricted,10,$29.96,$28.66,,,,,,,,
StatTrak™ FAMAS,Pulse,Well-Worn,StatTrak™Restricted,11,$6.24,$5.97,,,,,,,,
StatTrak™ FAMAS,Pulse,Field-Tested,StatTrak™Restricted,83,$5.81,$5.56,,,,,,,,
StatTrak™ FAMAS,Pulse,Minimal Wear,StatTrak™Restricted,58,$7.71,$7.38,,,,,,,,
StatTrak™ FAMAS,Pulse,Factory New,StatTrak™Restricted,83,$9.61,$9.20,,,,,,,,
StatTrak™ MP9,Rose Iron,Field-Tested,StatTrak™Restricted,24,$7.15,$6.84,,,,,,,,
StatTrak™ MP9,Rose Iron,Minimal Wear,StatTrak™Restricted,44,$8.88,$8.50,,,,,,,,
StatTrak™ MP9,Rose Iron,Factory New,StatTrak™Restricted,54,$14.10,$13.49,,,,,,,,
StatTrak™ Nova,Rising Skull,Battle-Scarred,StatTrak™Restricted,9,$4.30,$4.12,,,,,,,,
StatTrak™ Nova,Rising Skull,Well-Worn,StatTrak™Restricted,12,$3.70,$3.54,,,,,,,,
StatTrak™ Nova,Rising Skull,Field-Tested,StatTrak™Restricted,30,$4.80,$4.60,,,,,,,,
StatTrak™ Nova,Rising Skull,Minimal Wear,StatTrak™Restricted,32,$4.46,$4.27,,,,,,,,
StatTrak™ Nova,Rising Skull,Factory New,StatTrak™Restricted,31,$8.85,$8.47,,,,,,,,
StatTrak™ AWP,Redline,Well-Worn,StatTrak™Classified,13,$73.02,$69.85,,,,,,,,
StatTrak™ AWP,Redline,Field-Tested,StatTrak™Classified,84,$44.27,$42.35,,,,,,,,
StatTrak™ AWP,Redline,Minimal Wear,StatTrak™Classified,32,$92.55,$88.53,,,,,,,,
StatTrak™ M4A1-S,Guardian,Battle-Scarred,StatTrak™Classified,21,$21.34,$20.42,,,,,,,,
StatTrak™ M4A1-S,Guardian,Well-Worn,StatTrak™Classified,36,$16.10,$15.40,,,,,,,,
StatTrak™ M4A1-S,Guardian,Field-Tested,StatTrak™Classified,53,$18.17,$17.38,,,,,,,,
StatTrak™ M4A1-S,Guardian,Minimal Wear,StatTrak™Classified,45,$22.00,$21.05,,,,,,,,
StatTrak™ M4A1-S,Guardian,Factory New,StatTrak™Classified,37,$36.04,$34.48,,,,,,,,
StatTrak™ P250,Mehndi,Battle-Scarred,StatTrak™Classified,17,$11.01,$10.54,,,,,,,,
StatTrak™ P250,Mehndi,Well-Worn,StatTrak™Classified,25,$11.36,$10.87,,,,,,,,
StatTrak™ P250,Mehndi,Field-Tested,StatTrak™Classified,25,$15.35,$14.69,,,,,,,,
StatTrak™ P250,Mehndi,Minimal Wear,StatTrak™Classified,25,$20.64,$19.75,,,,,,,,
StatTrak™ P250,Mehndi,Factory New,StatTrak™Classified,11,$46.49,$44.47,,,,,,,,
StatTrak™ M4A4,Asiimov,Battle-Scarred,StatTrak™Covert,13,$98.45,$94.17,,,,,,,,
StatTrak™ M4A4,Asiimov,Well-Worn,StatTrak™Covert,5,$209.82,$200.70,,,,,,,,
StatTrak™ M4A4,Asiimov,Field-Tested,StatTrak™Covert,9,$305.76,$292.47,,,,,,,,
StatTrak™ Sawed-Off,The Kraken,Well-Worn,StatTrak™Covert,2,$40.73,$38.96,,,,,,,,
StatTrak™ Sawed-Off,The Kraken,Field-Tested,StatTrak™Covert,14,$13.06,$12.50,,,,,,,,
StatTrak™ Sawed-Off,The Kraken,Minimal Wear,StatTrak™Covert,9,$18.37,$17.58,,,,,,,,
StatTrak™ Sawed-Off,The Kraken,Factory New,StatTrak™Covert,12,$45.78,$43.79,,,,,,,,
