Product,Volume,Normal Price,Sale Price
M249 | Magma (Battle-Scarred),99,$0.25 USD,$0.24 USD
PP-Bizon | Cobalt Halftone (Field-Tested),137,$0.25 USD,$0.24 USD
M249 | Magma (Well-Worn),55,$0.29 USD,$0.28 USD
M249 | Magma (Field-Tested),120,$0.29 USD,$0.28 USD
Galil AR | Sandstorm (Field-Tested),286,$0.31 USD,$0.30 USD
PP-Bizon | Cobalt Halftone (Minimal Wear),122,$0.31 USD,$0.30 USD
Five-SeveN | Kami (Minimal Wear),259,$0.35 USD,$0.34 USD
Five-SeveN | Kami (Field-Tested),86,$0.36 USD,$0.35 USD
M249 | Magma (Minimal Wear),104,$0.37 USD,$0.36 USD
Galil AR | Sandstorm (Well-Worn),48,$0.48 USD,$0.46 USD
PP-Bizon | Cobalt Halftone (Well-Worn),59,$0.49 USD,$0.47 USD
Galil AR | Sandstorm (Battle-Scarred),97,$0.51 USD,$0.49 USD
StatTrak™ M249 | Magma (Battle-Scarred),80,$0.51 USD,$0.49 USD
StatTrak™ PP-Bizon | Cobalt Halftone (Well-Worn),100,$0.53 USD,$0.51 USD
StatTrak™ PP-Bizon | Cobalt Halftone (Field-Tested),170,$0.57 USD,$0.55 USD
Five-SeveN | Kami (Factory New),226,$0.55 USD,$0.53 USD
StatTrak™ M249 | Magma (Field-Tested),140,$0.57 USD,$0.55 USD
M249 | Magma (Factory New),104,$0.58 USD,$0.56 USD
StatTrak™ Galil AR | Sandstorm (Battle-Scarred),97,$0.64 USD,$0.62 USD
StatTrak™ Galil AR | Sandstorm (Field-Tested),375,$0.65 USD,$0.63 USD
StatTrak™ M249 | Magma (Well-Worn),58,$0.74 USD,$0.71 USD
StatTrak™ Five-SeveN | Kami (Field-Tested),169,$0.74 USD,$0.71 USD
StatTrak™ PP-Bizon | Cobalt Halftone (Minimal Wear),189,$0.82 USD,$0.79 USD
StatTrak™ M249 | Magma (Minimal Wear),104,$0.86 USD,$0.83 USD
PP-Bizon | Cobalt Halftone (Factory New),60,$0.93 USD,$0.89 USD
StatTrak™ Five-SeveN | Kami (Minimal Wear),326,$0.93 USD,$0.89 USD
StatTrak™ Galil AR | Sandstorm (Well-Worn),91,$1.00 USD,$0.96 USD
StatTrak™ M249 | Magma (Factory New),75,$1.05 USD,$1.01 USD
StatTrak™ Five-SeveN | Kami (Factory New),198,$1.52 USD,$1.46 USD
Dual Berettas | Marina (Battle-Scarred),28,$1.52 USD,$1.46 USD
Dual Berettas | Marina (Field-Tested),117,$1.55 USD,$1.49 USD
Galil AR | Sandstorm (Minimal Wear),98,$1.58 USD,$1.52 USD
Nova | Rising Skull (Field-Tested),91,$1.69 USD,$1.62 USD
Nova | Rising Skull (Minimal Wear),69,$1.92 USD,$1.84 USD
Dual Berettas | Marina (Well-Worn),28,$1.95 USD,$1.87 USD
Dual Berettas | Marina (Minimal Wear),93,$1.98 USD,$1.90 USD
Nova | Rising Skull (Battle-Scarred),14,$2.13 USD,$2.04 USD
Nova | Rising Skull (Well-Worn),31,$2.30 USD,$2.20 USD
StatTrak™ PP-Bizon | Cobalt Halftone (Factory New),45,$2.39 USD,$2.29 USD
Nova | Rising Skull (Factory New),61,$2.44 USD,$2.34 USD
StatTrak™ Galil AR | Sandstorm (Minimal Wear),73,$3.04 USD,$2.91 USD
FAMAS | Pulse (Field-Tested),103,$3.11 USD,$2.98 USD
FAMAS | Pulse (Minimal Wear),136,$3.29 USD,$3.15 USD
StatTrak™ Dual Berettas | Marina (Battle-Scarred),11,$3.40 USD,$3.26 USD
StatTrak™ Dual Berettas | Marina (Field-Tested),69,$3.59 USD,$3.44 USD
StatTrak™ Dual Berettas | Marina (Well-Worn),15,$3.63 USD,$3.48 USD
StatTrak™ Nova | Rising Skull (Well-Worn),12,$3.70 USD,$3.54 USD
MP9 | Rose Iron (Field-Tested),46,$4.03 USD,$3.86 USD
StatTrak™ Nova | Rising Skull (Battle-Scarred),9,$4.30 USD,$4.12 USD
FAMAS | Pulse (Factory New),169,$4.43 USD,$4.24 USD
StatTrak™ Nova | Rising Skull (Minimal Wear),32,$4.46 USD,$4.27 USD
StatTrak™ Dual Berettas | Marina (Minimal Wear),42,$4.50 USD,$4.31 USD
StatTrak™ Nova | Rising Skull (Field-Tested),30,$4.80 USD,$4.60 USD
Dual Berettas | Marina (Factory New),37,$4.88 USD,$4.67 USD
P250 | Mehndi (Battle-Scarred),30,$4.99 USD,$4.78 USD
MP9 | Rose Iron (Minimal Wear),77,$5.17 USD,$4.95 USD
P250 | Mehndi (Field-Tested),63,$5.41 USD,$5.18 USD
Sawed-Off | The Kraken (Field-Tested),53,$5.44 USD,$5.21 USD
P250 | Mehndi (Well-Worn),22,$5.49 USD,$5.26 USD
Sawed-Off | The Kraken (Minimal Wear),44,$5.55 USD,$5.31 USD
M4A1-S | Guardian (Well-Worn),55,$5.55 USD,$5.31 USD
StatTrak™ FAMAS | Pulse (Field-Tested),83,$5.81 USD,$5.56 USD
M4A1-S | Guardian (Field-Tested),224,$5.71 USD,$5.47 USD
M4A1-S | Guardian (Battle-Scarred),22,$5.80 USD,$5.55 USD
StatTrak™ FAMAS | Pulse (Well-Worn),11,$6.24 USD,$5.97 USD
M4A1-S | Guardian (Minimal Wear),298,$6.46 USD,$6.18 USD
MP9 | Rose Iron (Factory New),83,$6.68 USD,$6.39 USD
P250 | Mehndi (Minimal Wear),70,$6.71 USD,$6.42 USD
StatTrak™ MP9 | Rose Iron (Field-Tested),24,$7.15 USD,$6.84 USD
StatTrak™ FAMAS | Pulse (Minimal Wear),58,$7.71 USD,$7.38 USD
Sawed-Off | The Kraken (Factory New),42,$7.73 USD,$7.40 USD
M4A1-S | Guardian (Factory New),277,$8.64 USD,$8.27 USD
Sawed-Off | The Kraken (Well-Worn),8,$8.85 USD,$8.47 USD
StatTrak™ Nova | Rising Skull (Factory New),31,$8.85 USD,$8.47 USD
StatTrak™ MP9 | Rose Iron (Minimal Wear),44,$8.88 USD,$8.50 USD
FAMAS | Pulse (Well-Worn),9,$9.59 USD,$9.18 USD
StatTrak™ FAMAS | Pulse (Factory New),83,$9.61 USD,$9.20 USD
StatTrak™ P250 | Mehndi (Battle-Scarred),17,$11.01 USD,$10.54 USD
P250 | Mehndi (Factory New),27,$11.15 USD,$10.67 USD
StatTrak™ P250 | Mehndi (Well-Worn),25,$11.36 USD,$10.87 USD
StatTrak™ Sawed-Off | The Kraken (Field-Tested),14,$13.06 USD,$12.50 USD
StatTrak™ MP9 | Rose Iron (Factory New),54,$14.10 USD,$13.49 USD
StatTrak™ P250 | Mehndi (Field-Tested),25,$15.35 USD,$14.69 USD
StatTrak™ M4A1-S | Guardian (Well-Worn),36,$16.10 USD,$15.40 USD
AWP | Redline (Field-Tested),294,$17.95 USD,$17.17 USD
StatTrak™ M4A1-S | Guardian (Field-Tested),53,$18.17 USD,$17.38 USD
StatTrak™ Sawed-Off | The Kraken (Minimal Wear),9,$18.37 USD,$17.58 USD
StatTrak™ P250 | Mehndi (Minimal Wear),25,$20.64 USD,$19.75 USD
StatTrak™ M4A1-S | Guardian (Battle-Scarred),21,$21.34 USD,$20.42 USD
StatTrak™ M4A1-S | Guardian (Minimal Wear),45,$22.00 USD,$21.05 USD
AWP | Redline (Well-Worn),11,$23.53 USD,$22.51 USD
StatTrak™ Dual Berettas | Marina (Factory New),10,$29.96 USD,$28.66 USD
AWP | Redline (Minimal Wear),229,$30.59 USD,$29.26 USD
M4A4 | Asiimov (Battle-Scarred),64,$33.43 USD,$31.98 USD
StatTrak™ M4A1-S | Guardian (Factory New),37,$36.04 USD,$34.48 USD
StatTrak™ Sawed-Off | The Kraken (Well-Worn),2,$40.73 USD,$38.96 USD
StatTrak™ AWP | Redline (Field-Tested),84,$44.27 USD,$42.35 USD
StatTrak™ Sawed-Off | The Kraken (Factory New),12,$45.78 USD,$43.79 USD
StatTrak™ P250 | Mehndi (Factory New),11,$46.49 USD,$44.47 USD
M4A4 | Asiimov (Well-Worn),26,$63.09 USD,$60.35 USD
StatTrak™ AWP | Redline (Well-Worn),13,$73.02 USD,$69.85 USD
StatTrak™ AWP | Redline (Minimal Wear),32,$92.55 USD,$88.53 USD
StatTrak™ M4A4 | Asiimov (Battle-Scarred),13,$98.45 USD,$94.17 USD
M4A4 | Asiimov (Field-Tested),56,$100.32 USD,$95.96 USD
StatTrak™ M4A4 | Asiimov (Well-Worn),5,$209.82 USD,$200.70 USD
StatTrak™ M4A4 | Asiimov (Field-Tested),9,$305.76 USD,$292.47 USD
